Protein1 Protein2 tmscore tmscore-CP
1bgdA 2cn7A 0.48853 0.64955
1bgdA 1umnA 0.53565 0.67638
1bgdA 1o9rA 0.56954 0.71767
1bgdA 1r03A 0.48695 0.63170
1bgdA 1rciA 0.50423 0.65322
1bgdA 2chiA 0.48438 0.64672
1bgdA 1bcfA 0.54944 0.65235
1bgdA 1rccA 0.50362 0.65057
1bgdA 1mfrA 0.48858 0.65063
1bgdA 2bw1A 0.53537 0.67875
1bgdA 1n1qA 0.52738 0.67893
1bgdA 2cluA 0.48762 0.62632
1bgdA 1jreA 0.56418 0.70730
1bgdA 2ib0A 0.53728 0.68481
1bgdA 2fjcA 0.53333 0.69146
1bgdA 2d5kA 0.53901 0.69841
1bgdA 1rcdA 0.50305 0.64892
1bgdA 1jigA 0.53045 0.68524
1bgdA 1mojA 0.56556 0.72381
1bgdA 1rytA 0.48092 0.60658
1bgdA 1zs3A 0.54204 0.69818
1bgdA 2cf7A 0.53505 0.66136
1bgdA 2iy4A 0.54813 0.70001
1bgdA 1qghA 0.54744 0.69361
1bgdA 2c41A 0.55479 0.71476
1bgdA 2bk6A 0.54792 0.69413
1bgdA 2gyqA 0.50184 0.70537
1bgdA 1b71A 0.48910 0.63959
1bgdA 1ji4A 0.52346 0.65265
1bgdA 2bjyA 0.55371 0.70006
1bgdA 2bkcA 0.55304 0.69852
1bgdA 2fzfA 0.56757 0.73843
1bgdA 1z6oM 0.48847 0.62246
1bgdA 1ji5A 0.52250 0.66309
1buyA 1qghA 0.48562 0.61377
1buyA 1vjxA 0.50293 0.63035
1cd9A 1eumA 0.46894 0.62807
1cd9A 1vlgA 0.48217 0.60516
1cd9A 1s3qA 0.45567 0.59100
1cd9A 1z4aA 0.47147 0.60461
1cd9A 1bcfA 0.51821 0.65025
1cd9A 2cluA 0.49951 0.61150
1cd9A 1nf4A 0.51160 0.65279
1cd9A 1krqA 0.47922 0.62532
1cd9A 2chiA 0.49722 0.62310
1cd9A 2gydA 0.49656 0.61954
1cd9A 2cn7A 0.49942 0.62647
1cd9A 1gwgA 0.49928 0.60908
1cd9A 1mfrA 0.50001 0.62430
1cd9A 1jgcA 0.50713 0.63257
1cd9A 2fkzA 0.51418 0.64401
1cd9A 1fhaA 0.49715 0.60396
1cd9A 1rcdA 0.50516 0.60713
1cd9A 1aewA 0.49960 0.60464
1cd9A 2fg4A 0.49959 0.62013
1cd9A 1rccA 0.50639 0.60971
1cd9A 1sofA 0.51340 0.64621
1cd9A 1o9rA 0.54740 0.68882
1cd9A 1rciA 0.50590 0.60745
1cd9A 2ffxJ 0.49935 0.61973
1cd9A 1umnA 0.52255 0.66249
1cd9A 1jreA 0.53586 0.67244
1cd9A 1yuxA 0.51510 0.66474
1cd9A 1mojA 0.53949 0.68378
1cd9A 2fzfA 0.54401 0.65500
1cd9A 2bw1A 0.52223 0.66281
1cd9A 1rytA 0.50698 0.62029
1cd9A 2c41A 0.50689 0.65024
1cd9A 2fjcA 0.52624 0.66569
1cd9A 1ji4A 0.50074 0.62834
1cd9A 2c2fA 0.52867 0.67662
1cd9A 2d5kA 0.51200 0.66082
1cd9A 1jigA 0.50428 0.65257
1cd9A 1n1qA 0.49971 0.62747
1cd9A 1qghA 0.52591 0.66319
1cd9A 2ib0A 0.50013 0.65473
1cd9A 1uvhA 0.54007 0.64727
1cd9A 1b71A 0.50781 0.62044
1cd9A 2bk6A 0.52697 0.66330
1cd9A 2iy4A 0.52698 0.66940
1cd9A 2bjyA 0.52851 0.66493
1cd9A 1zs3A 0.52600 0.67573
1cd9A 1vjxA 0.51890 0.64844
1cnt1 1fhaA 0.55474 0.66740
1cnt1 1r03A 0.55958 0.68088
1cnt1 2cn7A 0.55961 0.67816
1cnt1 1aewA 0.56148 0.66884
1cnt1 1z4aA 0.54612 0.65503
1cnt1 1vlgA 0.54633 0.65647
1cnt1 2chiA 0.55745 0.67235
1cnt1 2cluA 0.55890 0.67834
1cnt1 1mfrA 0.55977 0.67449
1cnt1 1s3qA 0.48014 0.59141
1cnt1 2gydA 0.56274 0.67223
1cnt1 1gwgA 0.56279 0.67484
1cnt1 2fg4A 0.56527 0.67052
1cnt1 2ffxJ 0.56530 0.67148
1cnt1 1h96A 0.56544 0.67537
1cnt1 1rccA 0.56412 0.67560
1cnt1 1eumA 0.55891 0.67946
1cnt1 1krqA 0.55231 0.67267
1cnt1 1rcdA 0.56295 0.67281
1cnt1 1rciA 0.56371 0.67359
1cnt1 1bcfA 0.57414 0.70958
1cnt1 1rytA 0.52681 0.67501
1cnt1 2fkzA 0.56813 0.70290
1cnt1 2ib0A 0.55285 0.69442
1cnt1 1n1qA 0.56437 0.68476
1cnt1 1b71A 0.52930 0.67592
1cnt1 2fjcA 0.57709 0.69321
1csmA 2f6lA 0.38555 0.51570
1csmA 2ao2A 0.39478 0.52749
1ddnA 2fxaA 0.56714 0.59614
1ddnA 2a61A 0.55535 0.60185
1dpsA 1bgdA 0.55769 0.70275
1dpsA 1cd9A 0.57235 0.71337
1dpsA 1cnt1 0.49015 0.65008
1dpsA 1axiA 0.45507 0.61527
1dpsA 1a22A 0.49746 0.60992
1dpsA 1aluA 0.49592 0.62090
1ea8A 2avkA 0.60449 0.61742
1ea8A 2awcA 0.60493 0.59199
1eerA 1vjxA 0.48402 0.60740
1eerA 1z7cA 0.52553 0.52553
1emrA 1vjxA 0.47744 0.61846
1emrA 1krqA 0.50335 0.59318
1emrA 1nf4A 0.50952 0.63215
1emrA 1uvhA 0.51936 0.63853
1emrA 1sofA 0.51709 0.63450
1emrA 1rytA 0.53171 0.64173
1emrA 1jgcA 0.50850 0.63308
1emrA 2cn7A 0.50360 0.60723
1emrA 2gydA 0.50700 0.60341
1emrA 1z4aA 0.49268 0.57582
1emrA 2fkzA 0.51019 0.63878
1emrA 2ffxJ 0.50870 0.60399
1emrA 1vlgA 0.49357 0.58351
1emrA 1h96A 0.50632 0.60286
1emrA 1ji4A 0.52115 0.63004
1emrA 2ib0A 0.51256 0.63456
1emrA 1bcfA 0.52135 0.64032
1emrA 2c41A 0.54473 0.67165
1emrA 2fg4A 0.51011 0.58806
1emrA 2chiA 0.50195 0.60295
1emrA 1fhaA 0.50221 0.59996
1emrA 1b71A 0.53431 0.64477
1emrA 2bkcA 0.53519 0.64130
1emrA 2cluA 0.50283 0.60609
1emrA 1s3qA 0.44811 0.55329
1emrA 2fzfA 0.54534 0.71846
1emrA 2d5kA 0.53546 0.64095
1emrA 1ji5A 0.51822 0.62874
1emrA 1qghA 0.53300 0.64341
1emrA 1mojA 0.55081 0.65822
1emrA 1f30A 0.51316 0.63590
1emrA 2iy4A 0.52915 0.63933
1emrA 1dpsA 0.51221 0.63484
1emrA 1rcdA 0.50396 0.60627
1emrA 1aewA 0.50773 0.60329
1emrA 2itbA 0.56884 0.67169
1emrA 1rccA 0.50484 0.60690
1emrA 1mfrA 0.50267 0.60797
1emrA 1rciA 0.50576 0.61029
1emrA 2clbA 0.52967 0.65433
1emrA 1zujA 0.54433 0.66538
1emrA 2bjyA 0.53306 0.63836
1emrA 1n1qA 0.52727 0.64529
1emrA 2bk6A 0.52934 0.63939
1emrA 2bw1A 0.53053 0.63644
1emrA 1o9rA 0.54522 0.65705
1emrA 2c2fA 0.54572 0.67687
1emrA 1umnA 0.53247 0.63633
1eumA 1bgcA 0.50623 0.62281
1eumA 1aluA 0.48032 0.58458
1evsA 2c2fA 0.46077 0.65307
1evsA 2bw1A 0.48684 0.59896
1evsA 1qghA 0.49418 0.61926
1evsA 2c41A 0.51554 0.66111
1evsA 1z6oM 0.50132 0.61098
1evsA 1ji5A 0.49907 0.62150
1evsA 1umnA 0.48597 0.59517
1evsA 1jigA 0.50481 0.63485
1evsA 2cf7A 0.48635 0.60551
1evsA 1n1qA 0.50193 0.63506
1evsA 2fjcA 0.45775 0.63004
1evsA 1o9rA 0.49431 0.61623
1evsA 1eumA 0.46171 0.54146
1evsA 1z4aA 0.45088 0.59226
1evsA 2gydA 0.45541 0.60091
1evsA 2d5kA 0.50396 0.63602
1evsA 2ffxJ 0.45407 0.60640
1evsA 2clbA 0.48936 0.62547
1evsA 1gwgA 0.45720 0.60682
1evsA 2iy4A 0.49424 0.62508
1evsA 1rciA 0.48673 0.53869
1evsA 2bjyA 0.49899 0.61406
1evsA 1h96A 0.45637 0.60210
1f1mA 1rj1A 0.45130 0.55314
1f1mA 2cj4A 0.45365 0.54476
1f30A 1yuxA 0.71851 0.71851
1f30A 1cnt1 0.53383 0.65928
1f30A 1cd9A 0.58101 0.72547
1f30A 1rhgA 0.53165 0.68791
1f30A 1bgdA 0.56637 0.71088
1f30A 1aluA 0.50318 0.63154
1f30A 1axiA 0.46076 0.62190
1f6fA 1jigA 0.47323 0.57067
1f6fA 1n1qA 0.46584 0.54160
1f6fA 1r03A 0.46383 0.51911
1f6fA 2fjcA 0.47731 0.58497
1f6fA 2cf7A 0.48381 0.58439
1f6fA 2bw1A 0.48551 0.58725
1f6fA 1umnA 0.48385 0.58471
1f6fA 1dpsA 0.48073 0.58310
1f6fA 1mojA 0.44132 0.59477
1f6fA 1o9rA 0.48639 0.60092
1fhaA 1aluA 0.44315 0.54513
1fhaA 1wozA 0.52274 0.52274
1fxkA 1jq0A 0.53588 0.53588
1fxkC 2fcwA 0.49388 0.54295
1gncA 1dpsA 0.41989 0.53023
1gncA 1f30A 0.41727 0.52927
1gwgA 1pvhB 0.47988 0.58220
1gwgA 1lkiA 0.47772 0.57743
1gwgA 1bgcA 0.46927 0.60088
1gwgA 1f6fA 0.50287 0.59340
1h96A 1cd9A 0.51148 0.63938
1h96A 1f6fA 0.50454 0.60189
1h96A 1axiA 0.45450 0.55790
1h96A 1bgdA 0.46705 0.60211
1huwA 1yuzA 0.42403 0.55661
1huwA 1yuxA 0.42378 0.55291
1huwA 1aewA 0.42361 0.42361
1hwgA 1z6oM 0.39793 0.50645
1hwgA 1rytA 0.43618 0.55681
1hwgA 2cf7A 0.41452 0.51436
1hwgA 1mojA 0.42567 0.55630
1hwgA 2fkzA 0.42499 0.53471
1hwgA 1nf4A 0.42492 0.52538
1hwgA 1jgcA 0.42388 0.52440
1hwgA 2fzfA 0.49359 0.62132
1hwgA 1b71A 0.43539 0.55719
1hwgA 2iy4A 0.40998 0.52382
1hwgA 1umnA 0.40525 0.52160
1hwgA 1jigA 0.42839 0.50825
1hwgA 2gydA 0.40896 0.51681
1hwgA 1eumA 0.41591 0.51955
1hwgA 1z4aA 0.41177 0.50349
1hwgA 1sofA 0.42368 0.53232
1hwgA 2bw1A 0.42673 0.52379
1hwgA 1krqA 0.41503 0.49588
1hwgA 2d5kA 0.42599 0.52789
1hwgA 1aewA 0.41014 0.52004
1hwgA 1s3qA 0.38210 0.38210
1hwgA 2c2fA 0.42231 0.54540
1hwgA 2fg4A 0.39583 0.52221
1hwgA 1rccA 0.40799 0.52212
1hwgA 1bcfA 0.42854 0.53728
1hwgA 1rcdA 0.40875 0.52307
1hwgA 2bjyA 0.41545 0.51513
1hwgA 2cluA 0.40750 0.51996
1hwgA 1n1qA 0.42121 0.50999
1hwgA 1qghA 0.41353 0.52690
1hwgA 1o9rA 0.43133 0.54102
1hwgA 1vlgA 0.41314 0.51017
1hwgA 2bk6A 0.41235 0.51754
1hwgA 1ji5A 0.41255 0.50685
1hwgA 1jreA 0.42429 0.52987
1hwgA 2bkcA 0.41628 0.53077
1hwgA 2fjcA 0.41748 0.52766
1hwgA 1f30A 0.42424 0.53399
1i1rB 2gs4A 0.45132 0.56365
1i1rB 1nf4A 0.44297 0.56238
1i1rB 1z4aA 0.42984 0.52497
1i1rB 1vlgA 0.43072 0.52882
1i1rB 2fzfA 0.49672 0.64795
1i1rB 2fkzA 0.44370 0.56157
1i1rB 2fg4A 0.39580 0.53438
1i1rB 1umnA 0.46157 0.59068
1i1rB 1vjxA 0.45851 0.58660
1i1rB 2gydA 0.42998 0.53388
1i1rB 2cn7A 0.39516 0.55153
1i1rB 1qghA 0.46023 0.59065
1i1rB 1krqA 0.43442 0.54164
1i1rB 1gwgA 0.43134 0.53685
1i1rB 2bw1A 0.46456 0.59523
1i1rB 1aewA 0.43042 0.53413
1i1rB 2cluA 0.39418 0.55188
1i1rB 1n1qA 0.44765 0.56468
1i1rB 2d5kA 0.45526 0.57178
1i1rB 1sofA 0.44227 0.55992
1i1rB 1o9rA 0.46944 0.59943
1i1rB 1mojA 0.46311 0.61218
1i1rB 1rcdA 0.43453 0.53730
1i1rB 2chiA 0.39328 0.55020
1i1rB 1jigA 0.45762 0.58265
1i1rB 1mfrA 0.39382 0.54965
1i1rB 2ib0A 0.46715 0.60502
1i1rB 1jgcA 0.43638 0.55169
1i1rB 1dpsA 0.45626 0.59407
1i1rB 1r03A 0.43180 0.54113
1i1rB 1s3qA 0.40236 0.51479
1i1rB 2bjyA 0.46492 0.59636
1i1rB 1bcfA 0.43736 0.56408
1i1rB 2iy4A 0.46476 0.59950
1i1rB 1rccA 0.43458 0.53752
1i1rB 1fhaA 0.39115 0.52965
1i1rB 1rciA 0.43677 0.53857
1i1rB 1jreA 0.45701 0.59215
1i1rB 1f30A 0.45617 0.59147
1i1rB 2bk6A 0.46090 0.59173
1i1rB 1ji4A 0.46310 0.55701
1il6A 1zujA 0.48470 0.61733
1il6A 1zs3A 0.48636 0.61966
1il6A 1vjxA 0.46173 0.60824
1jgcA 1lkiA 0.52668 0.62161
1jgcA 1pvhB 0.47952 0.62593
1jgcA 1cnt1 0.53522 0.65383
1ji5A 1wu3I 0.52614 0.67202
1jmwA 1ea8A 0.53092 0.64808
1jreA 1cnt1 0.53186 0.64994
1jreA 1rhgA 0.52930 0.65138
1jreA 1aluA 0.50245 0.62737
1jreA 1a22A 0.50322 0.62413
1k33A 1wcrA 0.74368 0.71760
1k33A 2e2aA 0.74145 0.74145
1k40A 2cj4A 0.53717 0.67357
1l3pA 1nlxA 0.62705 0.67800
1lihA 1ea8A 0.53659 0.62132
1lihA 1gs9A 0.54111 0.63310
1lihA 1b68A 0.53611 0.62047
1lkiA 1z4aA 0.45084 0.54044
1lkiA 2cf7A 0.49433 0.59228
1lkiA 1nf4A 0.49020 0.59550
1lkiA 2bw1A 0.49795 0.59377
1lkiA 2c2fA 0.51202 0.63370
1lkiA 1s3qA 0.42383 0.52262
1lkiA 2fkzA 0.49888 0.60194
1lkiA 1krqA 0.46278 0.55613
1lkiA 1sofA 0.49670 0.59387
1lkiA 1o9rA 0.51250 0.61107
1lkiA 1umnA 0.49629 0.59404
1lkiA 1bcfA 0.49922 0.59832
1lkiA 2c41A 0.51308 0.58996
1lkiA 2d5kA 0.50175 0.61192
1lkiA 1jigA 0.49533 0.60699
1lkiA 2fg4A 0.47070 0.56593
1lkiA 2chiA 0.46817 0.56503
1lkiA 2cn7A 0.46885 0.56774
1lkiA 2bjyA 0.50220 0.60763
1lkiA 2cluA 0.46931 0.56668
1lkiA 2bk6A 0.49908 0.60703
1lkiA 1qghA 0.49999 0.60452
1lkiA 1dpsA 0.48114 0.59439
1lkiA 1n1qA 0.49469 0.60437
1lkiA 2fjcA 0.50219 0.61521
1lkiA 1fhaA 0.46512 0.56123
1lkiA 1ji4A 0.48876 0.59279
1lkiA 2iy4A 0.50033 0.60706
1lkiA 1jreA 0.48152 0.59542
1lkiA 1uvhA 0.50669 0.60644
1lkiA 2ib0A 0.48856 0.58951
1lkiA 1f30A 0.48081 0.59465
1lkiA 2bkcA 0.49810 0.59509
1lkiA 1eerA 0.55437 0.55437
1lkiA 1b71A 0.49776 0.57221
1lkiA 1ji5A 0.48976 0.59400
1m62A 1itfA 0.52853 0.53229
1mfrA 1pvhB 0.47568 0.57898
1mfrA 1lkiA 0.47241 0.57297
1mfrA 1f6fA 0.49191 0.59241
1nf4A 1axiA 0.44749 0.55652
1nf4A 1pvhB 0.50576 0.60777
1nf4A 1cnt1 0.51113 0.63695
1nf4A 1aluA 0.45600 0.58201
1nf4A 1f6fA 0.50038 0.60524
1nz6A 1cd9A 0.48551 0.48551
1nzeA 1u89A 0.59336 0.78950
1o9rA 1cnt1 0.52231 0.64971
1oryA 1p68A 0.40475 0.56788
1p68A 1ktmA 0.56359 0.72590
1p9mB 1ji5A 0.45748 0.56124
1pvhB 2cf7A 0.50460 0.60517
1pvhB 1umnA 0.50587 0.60716
1pvhB 2ffxJ 0.47665 0.58054
1pvhB 2bw1A 0.50383 0.60795
1pvhB 2fg4A 0.47972 0.57859
1pvhB 1s3qA 0.43483 0.53722
1pvhB 1yuxA 0.47858 0.62600
1pvhB 1krqA 0.47633 0.57566
1pvhB 2d5kA 0.51374 0.62272
1pvhB 1r03A 0.48399 0.58472
1pvhB 2fkzA 0.47895 0.60551
1pvhB 2clbA 0.49938 0.62330
1pvhB 1yuzA 0.47858 0.62663
1pvhB 2itbA 0.54579 0.64025
1pvhB 1eumA 0.48038 0.58251
1pvhB 2chiA 0.47809 0.57922
1pvhB 2c41A 0.52544 0.64381
1pvhB 1o9rA 0.51621 0.62373
1pvhB 1uvhA 0.51398 0.61123
1pvhB 1mojA 0.52764 0.63668
1pvhB 1rytA 0.51478 0.58100
1pvhB 1n1qA 0.50623 0.61910
1pvhB 1qghA 0.50844 0.61397
1pvhB 1jigA 0.50874 0.61849
1pvhB 1f30A 0.49095 0.61062
1pvhB 2ib0A 0.49540 0.61182
1pvhB 1sofA 0.47823 0.61355
1pvhB 1jreA 0.49106 0.61088
1pvhB 2bk6A 0.50970 0.61600
1pvhB 1vjxA 0.45693 0.57288
1pvhB 2fjcA 0.50957 0.62084
1pvhB 2bkcA 0.50786 0.61322
1pvhB 1dpsA 0.49186 0.61164
1pvhB 1ji4A 0.49644 0.60091
1pvhB 2bjyA 0.51075 0.61713
1pvhB 2fzfA 0.51842 0.65303
1pvhB 1zujA 0.52123 0.63857
1qghA 1cnt1 0.57934 0.69630
1qq3A 2cj4A 0.58911 0.68486
1r03A 1cd9A 0.49725 0.61317
1r03A 1bgcA 0.46164 0.59529
1rccA 1pvhB 0.47753 0.57579
1rccA 1f6fA 0.49564 0.59859
1rcdA 1pvhB 0.47748 0.57529
1rcdA 1lkiA 0.47361 0.57151
1rcdA 1f6fA 0.49354 0.59781
1rciA 1lkiA 0.47491 0.57628
1rciA 1pvhB 0.47904 0.57915
1rciA 1f6fA 0.49715 0.60131
1rhgA 1s3qA 0.49717 0.61740
1rhgA 1eumA 0.48435 0.68523
1rhgA 1krqA 0.48896 0.66997
1rhgA 2gydA 0.51808 0.68035
1rhgA 1vlgA 0.51622 0.67293
1rhgA 1jgcA 0.52733 0.71811
1rhgA 2cn7A 0.51871 0.68108
1rhgA 1sofA 0.56667 0.73286
1rhgA 2fg4A 0.52211 0.68184
1rhgA 1dpsA 0.56718 0.73548
1rhgA 2fkzA 0.56774 0.73458
1rhgA 1h96A 0.52114 0.66167
1rhgA 1gwgA 0.51964 0.68312
